Year,KenPom Rank,Team,CONF,Seed Number,AdjEM,AdjO,AdjD,AdjT,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM,POSTSEASON
2024,1,Connecticut ,BE,1,36.43,127.5,91.1,64.6,12.42,113.2,100.8,-3.4,
2024,2,Houston ,B12,1,31.17,118.9,87.7,63.5,11.57,111.9,100.3,-1.02,
2024,3,Purdue ,B10,1,30.62,125.2,94.6,67,14.65,114.4,99.8,10.58,
2024,4,Auburn ,SEC,4,27.99,120.4,92.4,70,9.49,111.9,102.4,1.47,
2024,5,Tennessee ,SEC,2,26.61,116.8,90.2,69.3,13.35,114.6,101.2,8.97,
2024,6,Arizona ,P12,2,26.55,120.2,93.7,72.2,11.12,112.2,101.1,10.47,
2024,7,Duke ,ACC,4,26.47,121.6,95.2,66.4,10.07,111.1,101.1,-0.04,
2024,8,Iowa St. ,B12,2,26.47,113.9,87.5,67.2,10.43,111.3,100.8,-7.05,
2024,9,North Carolina ,ACC,1,26.19,119.7,93.5,70.6,12.17,112.6,100.5,6.99,
2024,10,Illinois ,B10,3,24.53,125.5,101,69.8,11.92,111.8,99.9,-2.33,
2024,11,Creighton ,BE,3,24.22,120.9,96.7,66.8,11.96,112.3,100.4,4.99,
2024,12,Gonzaga ,WCC,5,23.17,122.6,99.4,68.9,5.21,109.3,104.1,7.7,
2024,13,Marquette ,BE,2,23.02,118.2,95.2,69.1,13.6,113.4,99.8,8.21,
2024,14,Alabama ,SEC,4,22.96,126,103,72.6,14.71,115.1,100.4,9.46,
2024,15,Baylor ,B12,3,21.9,122.4,100.5,65.8,13.44,112.4,99,3.36,
2024,16,Michigan St. ,B10,9,20.58,114.3,93.7,65.3,13.03,114.2,101.1,4.62,
2024,17,Wisconsin ,B10,5,20.06,119.2,99.2,65.5,14.04,113.2,99.2,6.22,
2024,18,BYU ,B12,6,19.96,119.8,99.9,69.2,9.21,110.1,100.9,-5.67,
2024,19,Clemson ,ACC,6,19.44,117.7,98.3,66.4,12.09,113.5,101.4,4.91,
2024,20,Saint Mary's ,WCC,5,19.43,114.5,95,62.5,3.54,108.5,104.9,5.2,
2024,22,San Diego St. ,MWC,5,19.36,113.4,94,66.2,11.16,112.8,101.7,10.56,
2024,23,Kentucky ,SEC,3,19.29,122.2,102.9,72.7,8.94,111.4,102.5,-0.17,
2024,24,Colorado ,P12,10,19.03,118.4,99.3,67.6,9.34,110.9,101.6,-1.47,
2024,25,Texas ,B12,7,18.77,116.5,97.7,67.4,10.91,111.4,100.5,-3.13,
2024,26,Florida ,SEC,7,18.19,120,101.8,72,11,112.5,101.5,2.02,
2024,27,Kansas ,B12,4,17.94,113.5,95.6,69.2,13.61,113,99.3,5.2,
2024,29,New Mexico ,MWC,11,17.8,114.4,96.6,72.8,7.04,110.2,103.2,-0.5,
2024,30,Nebraska ,B10,8,17.55,116.2,98.7,69,9.39,110.9,101.6,-5.41,
2024,31,Texas Tech ,B12,6,17.32,117.4,100.1,66.8,10.24,111.1,100.9,-2.63,
2024,32,Dayton ,A10,7,17.3,117.7,100.4,64.5,6.88,109.3,102.4,6.97,
2024,34,Mississippi St. ,SEC,8,17.07,113,95.9,67.1,11.36,112.7,101.3,0.68,
2024,35,Texas A&M ,SEC,9,17.02,117.5,100.5,66.6,12.06,112.9,100.9,5.1,
2024,36,Colorado St. ,MWC,10,17.02,114,97,66.1,9.3,111.9,102.6,5.84,
2024,40,Nevada ,MWC,10,16.41,115,98.6,66.8,5.79,109.7,103.9,-1.43,
2024,41,Northwestern ,B10,9,16.41,115.9,99.5,64.2,10.71,112.4,101.7,-7.35,
2024,42,Washington St. ,P12,7,16.33,113.2,96.9,64.8,7.91,110.3,102.4,-5.27,
2024,43,TCU ,B12,9,16.04,114.7,98.7,69.8,9.71,110.6,100.9,-8.39,
2024,44,Boise St. ,MWC,10,15.97,113.4,97.4,66.6,9.55,111.1,101.5,8.08,
2024,45,N.C. State ,ACC,11,15.9,114.3,98.4,68,11.33,112.2,100.8,-4.99,
2024,47,Florida Atlantic ,Amer,8,15.74,117.8,102.1,68.3,5.56,109.6,104.1,6.63,
2024,51,Utah St. ,MWC,8,14.89,116,101.1,68.9,6.83,109.8,103,1.78,
2024,52,Grand Canyon ,WAC,12,14.84,112.9,98.1,68.5,0.17,105.2,105.1,-1.67,
2024,53,Drake ,MVC,10,14.53,115.1,100.5,68,2.95,108,105,-1.34,
2024,54,South Carolina ,SEC,6,14.4,114.9,100.5,63.2,7.94,110.5,102.6,-5.83,
2024,55,Oregon ,P12,11,14.19,114.7,100.5,67.3,9.88,111.3,101.5,-0.11,
2024,63,James Madison ,SB,12,12.42,113,100.6,69.7,-3.41,104.1,107.5,-6.82,
2024,67,McNeese St. ,Slnd,12,11.8,113.4,101.5,65.9,-6.38,102.6,109,4.47,
2024,68,Virginia ,ACC,10,11.8,105.1,93.3,60.1,9.07,111.6,102.5,-1.09,
2024,81,Samford ,SC,13,10.03,113.6,103.6,72.8,-2.14,104.5,106.7,-5.47,
2024,88,Duquesne ,A10,11,9.19,107.2,98,66.2,5.68,109.7,104,1.51,
2024,90,Yale ,Ivy,13,9.07,110.9,101.8,64.9,3.07,108.7,105.6,5.01,
2024,101,Charleston ,CAA,13,7.52,113.9,106.4,70.3,-1.68,105.9,107.5,-0.38,
2024,104,Vermont ,AE,13,6.61,106.5,99.9,63.3,-2.2,104.7,106.9,2.3,
2024,106,UAB ,Amer,12,6.49,113.7,107.2,67.8,4.78,108.9,104.2,1.94,
2024,116,Morehead St. ,OVC,14,5.15,109.1,104,64.3,-5.27,103.6,108.9,7.73,
2024,122,Akron ,MAC,14,4.58,106.8,102.2,66,-1.43,105.7,107.2,6.16,
2024,131,Oakland ,Horz,14,3.73,109.3,105.6,66.5,-0.08,107.6,107.7,9.87,
2024,135,Western Kentucky ,CUSA,15,2.9,105.4,102.5,75.3,-2.07,104,106.1,-3,
2024,138,South Dakota St. ,Sum,15,2.69,108.8,106.1,68,-2.05,105.7,107.7,2.76,
2024,150,Colgate ,Pat,14,1.5,104.8,103.3,66.4,-6.51,102.3,108.8,6.36,
2024,161,Longwood ,BSth,16,0.35,105.5,105.2,66.9,-3.4,104.7,108.1,-6.8,
2024,165,Long Beach St. ,BW,15,-0.25,107.3,107.5,71.5,-0.3,105.2,105.5,1.29,
2024,201,Saint Peter's ,MAAC,15,-3.03,98.4,101.4,64.1,-3.95,102.8,106.8,0.54,
2024,220,Stetson ,ASun,16,-4.51,109.8,114.3,66.5,-2.86,105.7,108.6,4.58,
2024,223,Montana St. ,BSky,16,-4.65,103.5,108.2,69,-3.58,105.1,108.7,0.08,
2024,259,Grambling St. ,SWAC,16,-7.09,100.1,107.2,64.8,-4.42,101.9,106.3,15,
2024,275,Howard ,MEAC,16,-8.38,105.6,113.9,67.8,-7.02,100.6,107.6,-0.13,
2024,292,Wagner ,NEC,16,-10,96.4,106.4,61.6,-7.47,100.8,108.3,-1.22,